id	surface	hanja	gloss	level	created	source
61	1차 냉각수		primary coolant		2006-01-16T09:52:46Z	engdic-138823@ezcorean:138823
62	1차막		primary wall		2006-01-16T09:52:46Z	engdic-138840@ezcorean:138840
63	1통		counterpart		2006-01-16T09:52:46Z	engdic-40742@ezcorean:40742
64	1학년생의		freshman		2006-01-16T09:52:46Z	engdic-72651@ezcorean:72651
65	2개의 주사위를 굴리어 나온 질 숫자		crap		2006-01-16T09:52:46Z	engdic-42098@ezcorean:42098
66	2군 선수		halfblue		2006-01-16T09:52:46Z	engdic-82157@ezcorean:82157
67	2등		tourist class		2006-01-16T09:52:46Z	engdic-187933@ezcorean:187933
68	2인승 우주선		Gemini		2006-01-16T09:52:46Z	engdic-75714@ezcorean:75714
69	3배수의		triploid		2006-01-16T09:52:46Z	engdic-189841@ezcorean:189841
70	3색판		threecolo(u)r		2006-01-16T09:52:46Z	engdic-185504@ezcorean:185504
71	3행 광고		want ad		2006-01-16T09:52:46Z	engdic-199872@ezcorean:199872
72	4색 가설		fourcolor conjecture		2006-01-16T09:52:46Z	engdic-71743@ezcorean:71743
73	4인용 2륜마차		jaunting car		2006-01-16T09:52:46Z	engdic-100313@ezcorean:100313
74	4채널방식		quadraphonic		2006-01-16T09:52:46Z	engdic-142951@ezcorean:142951
75	4행정의		fourstroke		2006-01-16T09:52:46Z	engdic-71828@ezcorean:71828
76	5월의 여왕		Maid Marian		2006-01-16T09:52:46Z	engdic-109685@ezcorean:109685
77	60년제		diamond (silver)  jubilee		2006-01-16T09:52:46Z	engdic-101175@ezcorean:101175
78	6배의		six		2006-01-16T09:52:46Z	engdic-169243@ezcorean:169243
79	9일기도		novena		2006-01-16T09:52:46Z	engdic-123020@ezcorean:123020
80	가 지출결의		token vote		2006-01-16T09:52:46Z	engdic-186998@ezcorean:186998
81	가격 협정		pricefixing		2006-01-16T09:52:46Z	engdic-138667@ezcorean:138667
82	가까운		proximal		2006-01-16T09:52:46Z	engdic-141289@ezcorean:141289
83	가까이 못하게 하다		keep		2006-01-16T09:52:46Z	engdic-101913@ezcorean:101913
84	가끔		once in a  while		2006-01-16T09:52:46Z	engdic-201960@ezcorean:201960
85	가는 철사		cat('s) whisker		2006-01-16T09:52:46Z	engdic-23102@ezcorean:23102
86	가늘게 뜨다		squint		2006-01-16T09:52:46Z	engdic-175203@ezcorean:175203
87	가늘게 자르다		French		2006-01-16T09:52:46Z	engdic-72538@ezcorean:72538
88	가늘게 하다		thin		2006-01-16T09:52:46Z	engdic-185107@ezcorean:185107
89	가늘고 긴 홈		channel		2006-01-16T09:52:46Z	engdic-25141@ezcorean:25141
90	가닥이 진		proged		2006-01-16T09:52:46Z	engdic-139993@ezcorean:139993
91	가두다		lock in, shut in		2009-03-08T20:47:26Z	joe-107306@ezcorean:107306
92	가두리를 꾸민		fringing		2006-01-16T09:52:46Z	engdic-72882@ezcorean:72882
93	가득찬		flush		2006-01-16T09:52:46Z	engdic-69709@ezcorean:69709
94	가라앉다		submerge		2006-01-16T09:52:46Z	engdic-178956@ezcorean:178956
95	가라앉히다		lull		2006-01-16T09:52:46Z	engdic-108633@ezcorean:108633
96	가락을 올리다		key		2006-01-16T09:52:46Z	engdic-102067@ezcorean:102067
97	가로막다		hedge		2006-01-16T09:52:46Z	engdic-84718@ezcorean:84718
98	가로수 길		vista		2006-01-16T09:52:46Z	engdic-198615@ezcorean:198615
99	가로장		tread		2006-01-16T09:52:46Z	engdic-189126@ezcorean:189126
100	가루 반죽		puff paste		2006-01-16T09:52:46Z	engdic-141924@ezcorean:141924
101	가루 부스러기		frass		2006-01-16T09:52:46Z	engdic-72153@ezcorean:72153
102	가르치다		accomplish		2006-01-16T09:52:46Z	engdic-810@ezcorean:810
103	가림 판		modesty panel		2006-01-16T09:52:46Z	engdic-116182@ezcorean:116182
104	가망 없는 것으로 치고 단념하다		give up for  lost		2006-01-16T09:52:46Z	engdic-108108@ezcorean:108108
105	가맹국		member nation		2006-01-16T09:52:46Z	engdic-113146@ezcorean:113146
106	가면극		masque		2006-01-16T09:52:46Z	engdic-111602@ezcorean:111602
107	가면을 벗다		throw off the  mask		2006-01-16T09:52:46Z	engdic-111572@ezcorean:111572
108	가미하다		lace		2006-01-16T09:52:46Z	engdic-103249@ezcorean:103249
109	가방		school bag		2006-01-16T09:52:46Z	engdic-162916@ezcorean:162916
110	가벼운		venial		2006-01-16T09:52:46Z	engdic-197049@ezcorean:197049
111	가사 일만을 맡아 보는 하녀		maid		2006-01-16T09:52:46Z	engdic-109654@ezcorean:109654
112	가상의 적과 싸우다		tilt		2006-01-16T09:52:46Z	engdic-186255@ezcorean:186255
113	가스		wind		2006-01-16T09:52:46Z	engdic-202845@ezcorean:202845
114	가스 정류장 장치		manostat		2006-01-16T09:52:46Z	engdic-110731@ezcorean:110731
115	가슴걸이		martingale		2006-01-16T09:52:46Z	engdic-111460@ezcorean:111460
116	가슴으로 테이프를 끊다		breast the  tape		2006-01-16T09:52:46Z	engdic-182824@ezcorean:182824
117	가시 면류관		crown of  thorn  s		2006-01-16T09:52:46Z	engdic-185318@ezcorean:185318
118	가옥		a house, building		2006-12-22T19:43:17Z	joe-205604@ezcorean:205604
119	가이드 레일		guide rail		2006-01-16T09:52:46Z	engdic-81146@ezcorean:81146
120	가장  않다		least		2006-01-16T09:52:46Z	engdic-104955@ezcorean:104955
121	가장자리		verge		2006-01-16T09:52:46Z	engdic-197290@ezcorean:197290
122	가장자리 레이스		seaming		2006-01-16T09:52:46Z	engdic-163948@ezcorean:163948
123	가정 수호신		household gods		2006-01-16T09:52:46Z	engdic-88318@ezcorean:88318
124	가정부		ladyhelp		2006-01-16T09:52:46Z	engdic-103432@ezcorean:103432
125	가죽		leather		2006-01-16T09:52:46Z	engdic-104961@ezcorean:104961
126	가죽끈		leash		2006-01-16T09:52:46Z	engdic-104944@ezcorean:104944
127	가죽나무		tree		2006-01-16T09:52:46Z	engdic-189230@ezcorean:189230
128	가죽배		umiak		2006-01-16T09:52:46Z	engdic-191808@ezcorean:191808
129	가죽을 대다		tap		2006-01-16T09:52:46Z	engdic-182795@ezcorean:182795
130	가죽을 두두리는 받침돌		lapstone		2006-01-16T09:52:46Z	engdic-104007@ezcorean:104007
131	가지		tine		2006-01-16T09:52:46Z	engdic-186465@ezcorean:186465
132	가지가 7개 있는 장식 촛대		menorah		2006-01-16T09:52:46Z	engdic-113299@ezcorean:113299
133	가지치기		pruning		2006-01-16T09:52:46Z	engdic-141341@ezcorean:141341
134	가짜 자라 수프		mock turtle(soup)		2006-01-16T09:52:46Z	engdic-116076@ezcorean:116076
135	가짜약		quack		2006-01-16T09:52:46Z	engdic-142920@ezcorean:142920
136	가출옥 허가서		ticket of leave		2006-01-16T09:52:46Z	engdic-185982@ezcorean:185982
137	가출옥자		ticketofleave man		2006-01-16T09:52:46Z	engdic-185983@ezcorean:185983
138	가필하다		touch		2006-01-16T09:52:46Z	engdic-187812@ezcorean:187812
139	각 주파수		pulsatance		2006-01-16T09:52:46Z	engdic-142108@ezcorean:142108
140	각종 소형 자동차		funabout		2006-01-16T09:52:46Z	engdic-73664@ezcorean:73664
141	간격		interval		2006-01-16T09:52:46Z	engdic-98016@ezcorean:98016
142	간결함		laconism		2006-01-16T09:52:46Z	engdic-103330@ezcorean:103330
143	간담회		talkfest		2006-01-16T09:52:46Z	engdic-182490@ezcorean:182490
144	간선		main line		2006-01-16T09:52:46Z	engdic-109792@ezcorean:109792
145	간섭		meddling		2006-01-16T09:52:46Z	engdic-112705@ezcorean:112705
146	간이 부엌		kitchenet		2006-01-16T09:52:46Z	engdic-102587@ezcorean:102587
147	간이 의료 보조원		primary health worker		2006-01-16T09:52:46Z	engdic-138827@ezcorean:138827
148	간혹		once		2006-01-16T09:52:46Z	engdic-125079@ezcorean:125079
149	갈기갈기		from  limb		2006-01-16T09:52:46Z	engdic-106272@ezcorean:106272
150	갈다		shed		2006-01-16T09:52:46Z	engdic-166922@ezcorean:166922
151	갈색 반점		fox mark		2006-01-16T09:52:46Z	engdic-71905@ezcorean:71905
152	감금되어 있다		be under  ward		2006-01-16T09:52:46Z	engdic-199947@ezcorean:199947
153	감는 장치		take up		2006-01-16T09:52:46Z	engdic-182398@ezcorean:182398
154	감다		wind		2006-01-16T09:52:46Z	engdic-202829@ezcorean:202829
155	감독 대리		vicargeneral		2006-01-16T09:52:46Z	engdic-197760@ezcorean:197760
156	감독을 받고		under  surveillance		2006-01-16T09:52:46Z	engdic-180667@ezcorean:180667
157	감독하다.		proctor		2006-01-16T09:52:46Z	engdic-139706@ezcorean:139706
158	감미로운		saccharine		2006-01-16T09:52:46Z	engdic-160818@ezcorean:160818
159	감상적인		melting		2006-01-16T09:52:46Z	engdic-113121@ezcorean:113121
160	감시원		tidewaiter		2006-01-16T09:52:46Z	engdic-186071@ezcorean:186071
161	감시하다		keep (a)  watch		2006-01-16T09:52:46Z	engdic-200371@ezcorean:200371
162	감시하다		watch		2006-01-16T09:52:46Z	engdic-200389@ezcorean:200389
163	감아 올리는 장치		take up		2006-01-16T09:52:46Z	engdic-182395@ezcorean:182395
164	감안		consideration for sth in the figuring of		2006-07-28T06:46:52Z	curious-205386@ezcorean:205386
165	감은 끝의 공백의 부분		trailer		2006-01-16T09:52:46Z	engdic-188384@ezcorean:188384
166	감찰		license plate		2006-01-16T09:52:46Z	engdic-105814@ezcorean:105814
167	감탕흙		ooze		2006-01-16T09:52:46Z	engdic-125338@ezcorean:125338
168	갑상 연골		thyroid		2006-01-16T09:52:46Z	engdic-185920@ezcorean:185920
169	갑자기		all at  once		2006-01-16T09:52:46Z	engdic-125086@ezcorean:125086
170	갑자기		out of a clear  sky		2006-01-16T09:52:46Z	engdic-169618@ezcorean:169618
171	갑자기 길로 벗어나다		fly (go) off at a  tangent		2006-01-16T09:52:46Z	engdic-182683@ezcorean:182683
172	갑자기 되튀다		kick		2006-01-16T09:52:46Z	engdic-102162@ezcorean:102162
173	갑자기 정지하다		check		2006-01-16T09:52:46Z	engdic-25967@ezcorean:25967
174	갑작스레 죽다		hop the  twig		2006-01-16T09:52:46Z	engdic-191191@ezcorean:191191
175	갓		calyptra		2006-01-16T09:52:46Z	engdic-20451@ezcorean:20451
176	갓천		tabling		2006-01-16T09:52:46Z	engdic-182010@ezcorean:182010
177	강의뜻		coel-		2006-01-16T09:52:46Z	engdic-31955@ezcorean:31955
178	강적		tiger		2006-01-16T09:52:46Z	engdic-186147@ezcorean:186147
179	강제하다		wish		2006-01-16T09:52:46Z	engdic-203200@ezcorean:203200
180	강해지다		tone		2006-01-16T09:52:46Z	engdic-187138@ezcorean:187138
181	갖은 수가 다하여		at the end of one's  tether		2006-01-16T09:52:46Z	engdic-184438@ezcorean:184438
182	같은		Mephistophelean, Mephistophelian		2006-01-16T09:52:46Z	engdic-113400@ezcorean:113400
183	개가식		open access		2006-01-16T09:52:46Z	engdic-125403@ezcorean:125403
184	개괄적으로		in the  general		2006-01-16T09:52:46Z	engdic-75796@ezcorean:75796
185	개시		throwoff		2006-01-16T09:52:46Z	engdic-185746@ezcorean:185746
186	개인 부담 환자		private patient		2006-01-16T09:52:46Z	engdic-139347@ezcorean:139347
187	개인 영업		private practice		2006-01-16T09:52:46Z	engdic-139349@ezcorean:139349
188	개인 인쇄소		private press		2006-01-16T09:52:46Z	engdic-139350@ezcorean:139350
189	개인 천막		shelter tent		2006-01-16T09:52:46Z	engdic-167062@ezcorean:167062
190	개인주의		privatism		2006-01-16T09:52:46Z	engdic-139368@ezcorean:139368
191	개자식		son		2006-01-16T09:52:46Z	engdic-172370@ezcorean:172370
192	개정기		term		2006-01-16T09:52:46Z	engdic-184103@ezcorean:184103
193	개정일		juridical		2006-01-16T09:52:46Z	engdic-101514@ezcorean:101514
194	개종하다		find  salvation		2006-01-16T09:52:46Z	engdic-161558@ezcorean:161558
195	객석조명		houselights		2006-01-16T09:52:46Z	engdic-88337@ezcorean:88337
196	객원 강사		privatdocent		2006-01-16T09:52:46Z	engdic-139291@ezcorean:139291
197	객원 강사		privatdozent		2006-01-16T09:52:46Z	engdic-139292@ezcorean:139292
198	객원 교수		visiting professor		2006-01-16T09:52:46Z	engdic-198599@ezcorean:198599
199	거꾸로		upside		2006-01-16T09:52:46Z	engdic-195635@ezcorean:195635
200	거꾸로 말하면		over the  left		2006-01-16T09:52:46Z	engdic-105116@ezcorean:105116
201	거대 유조선		megatanker		2006-01-16T09:52:46Z	engdic-112979@ezcorean:112979
202	거두다		score		2006-01-16T09:52:46Z	engdic-163184@ezcorean:163184
203	거들어서 벗겨주다		help		2006-01-16T09:52:46Z	engdic-85105@ezcorean:85105
204	거물		big  shot		2006-01-16T09:52:46Z	engdic-167680@ezcorean:167680
205	거부권		veto		2006-01-16T09:52:46Z	engdic-197650@ezcorean:197650
206	거센파도		tide rip(s)		2006-01-16T09:52:46Z	engdic-186070@ezcorean:186070
207	거웃		fur		2006-01-16T09:52:46Z	engdic-73851@ezcorean:73851
208	거의		kind		2006-01-16T09:52:46Z	engdic-102364@ezcorean:102364
209	거의  마찬가지		only		2006-01-16T09:52:46Z	engdic-125238@ezcorean:125238
210	거점		toehold		2006-01-16T09:52:46Z	engdic-186889@ezcorean:186889
211	거짓말도 작작 해라		marine		2006-01-16T09:52:46Z	engdic-111075@ezcorean:111075
212	거짓말을 하여 법석 떨게 하다		cry  wolf		2006-01-16T09:52:46Z	engdic-203353@ezcorean:203353
213	거짓에 가득찬 생활을 보내다		live		2006-01-16T09:52:46Z	engdic-106960@ezcorean:106960
214	거짓잠		makebelieve		2006-01-16T09:52:46Z	engdic-110026@ezcorean:110026
215	거품		frog spit		2006-01-16T09:52:46Z	engdic-72987@ezcorean:72987
216	거품		frog spittle		2006-01-16T09:52:46Z	engdic-72989@ezcorean:72989
217	거품 이는		humming		2006-01-16T09:52:46Z	engdic-88771@ezcorean:88771
218	건곤일척의 승부를 하다		go the  vole		2006-01-16T09:52:46Z	engdic-199042@ezcorean:199042
219	건널목 안전 당번		crossing guard		2006-01-16T09:52:46Z	engdic-43731@ezcorean:43731
220	건반		keyboard		2006-01-16T09:52:46Z	engdic-102076@ezcorean:102076
221	건재		hutting		2006-01-16T09:52:46Z	engdic-89133@ezcorean:89133
222	건조장		oast house		2006-01-16T09:52:46Z	engdic-123744@ezcorean:123744
223	걷다		leg		2006-01-16T09:52:46Z	engdic-105171@ezcorean:105171
224	걷어 올리다		tuck		2006-01-16T09:52:46Z	engdic-190587@ezcorean:190587
225	걷어차다		lash		2006-01-16T09:52:46Z	engdic-104169@ezcorean:104169
226	걷힘		lift		2006-01-16T09:52:46Z	engdic-106011@ezcorean:106011
227	걸다		hitch		2006-01-16T09:52:46Z	engdic-86587@ezcorean:86587
228	걸레받이널		mopboard		2006-01-16T09:52:46Z	engdic-116934@ezcorean:116934
229	걸리기 쉬운		liable		2006-01-16T09:52:46Z	engdic-105687@ezcorean:105687
230	걸리다		take		2006-01-16T09:52:46Z	engdic-182355@ezcorean:182355
231	걸쇠		agraffe		2006-01-16T09:52:46Z	engdic-2943@ezcorean:2943
232	걸언 가다		walk		2006-01-16T09:52:46Z	engdic-199633@ezcorean:199633
233	걸을 수 있게 되다		feel(find)one's  leg  s		2006-01-16T09:52:46Z	engdic-105168@ezcorean:105168
234	걸치다		shuffle		2006-01-16T09:52:46Z	engdic-167946@ezcorean:167946
235	검경관		object plate		2006-01-16T09:52:46Z	engdic-123868@ezcorean:123868
236	검량		metage		2006-01-16T09:52:46Z	engdic-113776@ezcorean:113776
237	검은 방울새의 일종		yellowbird		2006-01-16T09:52:46Z	engdic-204450@ezcorean:204450
238	검인 재판소		probate court		2006-01-16T09:52:46Z	engdic-139494@ezcorean:139494
239	것		concern		2006-01-16T09:52:46Z	engdic-35280@ezcorean:35280
240	것은 무엇이나		what		2006-01-16T09:52:46Z	engdic-201732@ezcorean:201732
241	겉		crust		2006-01-16T09:52:46Z	engdic-44259@ezcorean:44259
242	겉옷		crawler		2006-01-16T09:52:46Z	engdic-42297@ezcorean:42297
243	겉으로 보기에		seemingly		2006-01-16T09:52:46Z	engdic-164595@ezcorean:164595
244	겉잠		forty  wink  s		2006-01-16T09:52:46Z	engdic-203037@ezcorean:203037
245	겉치례뿐이다		have all one's goods in the (front)  window		2006-01-16T09:52:46Z	engdic-202919@ezcorean:202919
246	게다가		and  that		2006-01-16T09:52:46Z	engdic-184591@ezcorean:184591
247	게시판		tack board		2006-01-16T09:52:46Z	engdic-182084@ezcorean:182084
248	게시하다		write		2006-01-16T09:52:46Z	engdic-203949@ezcorean:203949
249	겨를 까부르다		winnow		2006-01-16T09:52:46Z	engdic-203059@ezcorean:203059
250	격발		spate		2006-01-16T09:52:46Z	engdic-173348@ezcorean:173348
251	격에 맞지 않게		out of one's  latitude		2006-01-16T09:52:46Z	engdic-104375@ezcorean:104375
252	격자		lattice		2006-01-16T09:52:46Z	engdic-104399@ezcorean:104399
253	격자형 배열		lattice		2006-01-16T09:52:46Z	engdic-104400@ezcorean:104400
254	견뎌내게 하다		tide		2006-01-16T09:52:46Z	engdic-186062@ezcorean:186062
255	견뎌내다		last		2006-01-16T09:52:46Z	engdic-104217@ezcorean:104217
256	견디다		keep		2006-01-16T09:52:46Z	engdic-101911@ezcorean:101911
257	견지	見地	a slanting point of view (특수한), point of  view		2009-02-26T02:10:46Z	joe-169741@ezcorean:169741
258	결빙		frazil		2006-01-16T09:52:46Z	engdic-72215@ezcorean:72215
259	결석의		lithic		2006-01-16T09:52:46Z	engdic-106821@ezcorean:106821
260	결승 시합을 하다		play (shoot) off the  tie		2006-01-16T09:52:46Z	engdic-186120@ezcorean:186120
261	결승전		cup final		2006-01-16T09:52:46Z	engdic-44961@ezcorean:44961
262	결승점		winning post		2006-01-16T09:52:46Z	engdic-203056@ezcorean:203056
263	결실		fructification		2006-01-16T09:52:46Z	engdic-73212@ezcorean:73212
264	결실 기관		fructification		2006-01-16T09:52:46Z	engdic-73214@ezcorean:73214
265	결정하지 않다		hang		2006-01-16T09:52:46Z	engdic-82875@ezcorean:82875
266	결코 아니다		(in) no  wise		2006-01-16T09:52:46Z	engdic-203187@ezcorean:203187
267	결코 않다		never		2006-01-16T09:52:46Z	engdic-120379@ezcorean:120379
268	결탁		logroll		2006-01-16T09:52:46Z	engdic-107529@ezcorean:107529
269	결투재판		wager		2006-01-16T09:52:46Z	engdic-199447@ezcorean:199447
270	결판내다		louse		2006-01-16T09:52:46Z	engdic-108193@ezcorean:108193
271	결핍되다		lack		2006-01-16T09:52:46Z	engdic-103302@ezcorean:103302
272	결혼 중매		matchmaking		2006-01-16T09:52:46Z	engdic-111927@ezcorean:111927
273	결혼식		marriage service		2006-01-16T09:52:46Z	engdic-111370@ezcorean:111370
274	겸비하다		unite		2006-01-16T09:52:46Z	engdic-193835@ezcorean:193835
275	겸형 적혈구 빈		sickle		2006-01-16T09:52:46Z	engdic-168110@ezcorean:168110
276	경감 사유		mitigating circumstances		2006-01-16T09:52:46Z	engdic-115897@ezcorean:115897
277	경계석		hoarstone		2006-01-16T09:52:46Z	engdic-86682@ezcorean:86682
278	경계하여		on the  quivive		2006-01-16T09:52:46Z	engdic-143759@ezcorean:143759
279	경도계		sclerometer		2006-01-16T09:52:46Z	engdic-163084@ezcorean:163084
280	경마를 업으로 하여		on the  turf		2006-01-16T09:52:46Z	engdic-190859@ezcorean:190859
281	경매 되다		come under the  hammer		2006-01-16T09:52:46Z	engdic-82532@ezcorean:82532
282	경비행기를 띄우다		puddlejump		2006-01-16T09:52:46Z	engdic-141856@ezcorean:141856
283	경사		heel		2006-01-16T09:52:46Z	engdic-84774@ezcorean:84774
284	경시		floccinaucinihilipilification		2006-01-16T09:52:46Z	engdic-69091@ezcorean:69091
285	경심		metacentric		2006-01-16T09:52:46Z	engdic-113770@ezcorean:113770
286	경영 참가		Mitbestimmung		2006-01-16T09:52:46Z	engdic-115878@ezcorean:115878
287	경제의 장		marketplace		2006-01-16T09:52:46Z	engdic-111247@ezcorean:111247
288	경치		scene		2006-01-16T09:52:46Z	engdic-162707@ezcorean:162707
289	경화하다		metalline		2006-01-16T09:52:46Z	engdic-113800@ezcorean:113800
290	곁쇠		skeleton key		2006-01-16T09:52:46Z	engdic-169351@ezcorean:169351
291	곁에 서다		stand		2006-01-16T09:52:46Z	engdic-175630@ezcorean:175630
292	계류하다		moor2		2006-01-16T09:52:46Z	engdic-116909@ezcorean:116909
293	계산기		printing calculator		2006-01-16T09:52:46Z	engdic-139166@ezcorean:139166
294	계속되다		come to  stay		2006-01-16T09:52:46Z	engdic-176094@ezcorean:176094
295	계속해일하다		work		2006-01-16T09:52:46Z	engdic-203604@ezcorean:203604
296	고간백종		milk leg		2006-01-16T09:52:46Z	engdic-114817@ezcorean:114817
297	고급 피지		vellum		2006-01-16T09:52:46Z	engdic-196931@ezcorean:196931
298	고급 홍차		orange pekoe		2006-01-16T09:52:46Z	engdic-125825@ezcorean:125825
299	고기 거는 갈고리		fleshhook		2006-01-16T09:52:46Z	engdic-68656@ezcorean:68656
300	고기 요리를 곁들인 오후의 차		high(meat)  tea		2006-01-16T09:52:46Z	engdic-183194@ezcorean:183194
301	고대 헬베티아족의		helvetian		2006-01-16T09:52:46Z	engdic-85144@ezcorean:85144
302	고리		link		2006-01-16T09:52:46Z	engdic-106525@ezcorean:106525
303	고리를 잡아당겨 여는		ring-pull		2006-01-16T09:52:46Z	engdic-156590@ezcorean:156590
304	고립시키다		quarantine		2006-01-16T09:52:46Z	engdic-143150@ezcorean:143150
305	고맙습니다		mahalo		2006-01-16T09:52:46Z	engdic-109632@ezcorean:109632
306	고문		third degree		2006-01-16T09:52:46Z	engdic-185202@ezcorean:185202
307	고별사		valedictory		2006-01-16T09:52:46Z	engdic-196268@ezcorean:196268
308	고살죄		manslaughter		2006-01-16T09:52:46Z	engdic-110761@ezcorean:110761
309	고상하게		in good style		2006-01-16T09:52:46Z	engdic-178598@ezcorean:178598
310	고생의 원인이 되는 특성		misfeature		2006-01-16T09:52:46Z	engdic-115626@ezcorean:115626
311	고생하며 헤쳐 나아가다		worry		2006-01-16T09:52:46Z	engdic-203760@ezcorean:203760
